Event Log,Drift Perspective,Drift Type,Drift Specific Information,Drift Start Timestamp,Drift End Timestamp,Noise Proportion,Activities Added,Activities Deleted,Activities Moved
event_log_0,control-flow,recurring,1 seasonal changes,2020-03-30 01:17:18,2020-04-02 13:27:14 (0.78),0.0944,[],[],"[b, g, a, i]"
event_log_1,control-flow,recurring,1 seasonal changes,2020-03-20 18:59:12,2020-03-31 11:41:45 (0.74),0.0241,[],[d],[]
event_log_2,control-flow,gradual,linear distribution,2020-03-16 05:17:29,2020-03-21 08:11:05 (0.54),0.0815,[Random activity 1],[i],[]
event_log_3,control-flow,recurring,3 seasonal changes,2020-03-15 08:02:50,2020-03-24 12:37:28 (0.55),0.0966,[Random activity 1],[f],[]
event_log_4,control-flow,incremental,3 versions of the process model,2020-03-28 05:30:12,2020-03-31 12:25:11 (0.79),0.0479,"[Random activity 1, Random activity 2]","[b, d]",[]
event_log_5,control-flow,gradual,linear distribution,2020-03-21 23:02:12,2020-03-30 14:58:45 (0.67),0.0567,[],[],"[f, j, a, i]"
event_log_6,control-flow,incremental,6 versions of the process model,2020-03-24 13:31:00,2020-03-27 11:36:34 (0.74),0.0974,"[Random activity 1, Random activity 2]","[e, h, j]",[]
event_log_7,control-flow,recurring,1 seasonal changes,2020-03-15 20:53:55,2020-03-23 02:23:54 (0.79),0.0791,[Random activity 1],"[f, b]",[]
event_log_8,control-flow,recurring,3 seasonal changes,2020-03-25 19:53:04,2020-04-01 06:05:53 (0.78),0.0091,"[Random activity 1, Random activity 2]",[],[]
event_log_9,control-flow,incremental,4 versions of the process model,2020-03-22 13:47:00,2020-03-24 22:23:17 (0.77),0.0958,"[Random activity 1, Random activity 2]",[c],[]
event_log_10,control-flow,recurring,5 seasonal changes,2020-03-15 00:33:54,2020-03-18 18:52:52 (0.38),0.0812,"[Random activity 1, Random activity 2]",[],[]
event_log_11,control-flow,recurring,3 seasonal changes,2020-03-18 03:00:40,2020-03-25 19:33:03 (0.73),0.0577,[Random activity 1],[],[]
